Filename-->,
Mode/Unit-->,
Int.time[ms]-->,45
NrOfAverages-->,10
Smoothing-->,0
Wavelength [nm],flint spectrum 05 24 2021
644.388,-38.61797241
644.528,-30.32254937
644.668,-41.45023034
644.808,-24.0640673
644.948,-32.48562015
645.089,-49.44267028
645.229,-48.50413497
645.369,-33.54583219
645.509,-34.2102753
645.649,-27.70115751
645.790,-33.17476676
645.930,-35.85791524
646.070,-27.73011015
646.210,-32.791867
646.350,-37.90102094
646.490,-37.26277803
646.630,-31.54093984
646.770,-32.03038305
646.911,-37.32882064
647.051,-29.07660936
647.191,-53.70887292
647.331,-31.23009795
647.471,-41.38904489
647.611,-44.89501766
647.751,-20.06889346
647.891,-25.72583049
648.031,-18.95950301
648.171,-22.05965131
648.311,-28.80571664
648.451,-21.38275531
648.591,-36.47502721
648.731,-30.63366464
648.872,-39.76435312
649.012,-18.04123081
649.152,-34.77663377
649.292,-25.08431867
649.432,-51.50714906
649.572,-57.3074283
649.712,-39.05965131
649.852,-34.16264146
649.992,-42.62569393
650.131,-50.83054403
650.271,-30.88118633
650.411,-37.16279023
650.551,-54.03526414
650.691,-40.04737771
650.831,-32.41040576
650.971,-42.61655782
651.111,-43.33823551
651.251,-26.96607087
651.391,-33.03040136
651.531,-22.10585931
651.671,-35.31654561
651.811,-41.69829267
651.951,-37.59628299
652.091,-44.96890567
652.230,-38.64123081
652.370,-29.45194858
652.510,-45.04753259
652.650,-38.48730787
652.790,-46.44566558
652.930,-26.84594529
653.070,-40.0904712
653.209,-32.20129407
653.349,-28.77693132
653.489,-18.83509096
653.629,-40.83793796
653.769,-51.31984552
653.909,-31.02895063
654.048,-45.39659885
654.188,-49.13953136
654.328,-28.69960025
654.468,-32.2291055
654.608,-42.66592258
654.747,-46.91953576
654.887,-35.28573936
655.027,-38.20727952
655.167,-45.71045459
655.306,-38.25067056
655.446,-35.95364755
655.586,-52.89960025
655.726,-34.69814342
655.865,-41.72885726
656.005,-49.2442632
656.145,-44.41499542
656.285,-27.17063001
656.424,-49.66889346
656.564,-37.3596269
656.704,-56.4736131
656.843,-40.08745664
656.983,-22.31354421
657.123,-33.02267984
657.262,-55.24440587
657.402,-48.6613334
657.542,-42.71826433
657.681,-34.26119073
657.821,-45.78275531
657.961,-28.76122125
658.100,-33.60284522
658.240,-36.86121515
658.380,-23.71484006
658.519,-11.29031585
658.659,-38.57959855
658.798,-25.82282909
658.938,-47.74141057
659.078,-35.9102753
659.217,-46.17490943
659.357,-38.33352197
659.496,-45.13211397
659.636,-37.04893449
659.775,-42.42871412
659.915,-32.24580777
660.055,-47.35379728
660.194,-49.93953746
660.334,-31.37821496
660.473,-23.25494388
660.613,-22.14108814
660.752,-38.46891788
660.892,-36.8904712
661.031,-31.30757707
661.171,-23.42427982
661.310,-34.66576722
661.450,-40.19970678
661.589,-30.16122125
661.729,-41.54281247
661.868,-32.82738164
662.008,-46.88117412
662.147,-35.03182815
662.287,-40.08118633
662.426,-45.38916314
662.566,-42.35980104
662.705,-27.9503486
662.844,-19.04566558
662.984,-37.88017534
663.123,-44.1934665
663.263,-46.9349666
663.402,-46.41810945
663.541,-32.73210176
663.681,-32.26594699
663.820,-49.07521966
663.960,-16.58572715
664.099,-26.72269204
664.238,-40.11498321
664.378,-28.63965572
664.517,-36.70428422
664.656,-45.86576722
664.796,-31.33482345
664.935,-26.34110034
665.075,-60.56293901
665.214,-43.3039862
665.353,-30.30869363
665.492,-54.64593919
665.632,-42.31812166
665.771,-31.46877521
665.910,-29.95195468
666.050,-43.81501983
666.189,-43.614971
666.328,-63.74766305
666.468,-48.88275531
666.607,-40.83042577
666.746,-41.97678865
666.885,-41.88405164
667.025,-36.19190973
667.164,-43.59499935
667.303,-38.98121074
667.442,-32.47802347
667.582,-43.3286897
667.721,-42.71044238
667.860,-28.57778672
667.999,-56.65182374
668.138,-37.44139837
668.278,-36.51653951
668.417,-51.78919977
668.556,-74.17819055
668.695,-40.17944978
668.834,-33.71653951
668.974,-33.28418163
669.113,-50.45962079
669.252,-39.82884506
669.391,-33.92427982
669.530,-49.29502376
669.669,-38.29486888
669.808,-40.86865695
669.948,-22.72125963
670.087,-41.15508045
670.226,-43.97477897
670.365,-48.32728732
670.504,-54.39328721
670.643,-45.66591037
670.782,-35.94423879
670.921,-52.66279634
671.060,-38.35011185
671.199,-56.82581218
671.338,-50.91359304
671.478,-38.34583219
671.617,-43.75182374
671.756,-33.13351587
671.895,-48.53667873
672.034,-41.58576377
672.173,-57.00870584
672.312,-35.93042577
672.451,-37.05479511
672.590,-54.51201137
672.729,-41.56435312
672.868,-59.50429643
673.007,-30.88431257
673.146,-50.71514982
673.285,-30.91800292
673.424,-43.11657613
673.563,-48.44436925
673.702,-51.98886464
673.841,-27.8442632
673.980,-47.18887685
674.119,-29.38872245
674.257,-35.45951522
674.396,-34.46891788
674.535,-48.79816173
674.674,-41.38748716
674.813,-29.05039743
674.952,-42.15021814
675.091,-36.05208515
675.230,-22.85679258
675.369,-34.88861616
675.508,-28.34882844
675.647,-54.75505603
675.785,-41.00588983
675.924,-42.87962907
676.063,-51.55650676
676.202,-45.0151254
676.341,-35.49657443
676.480,-34.53653558
676.619,-41.88576377
676.757,-52.11957239
676.896,-35.99200357
677.035,-38.67364972
677.174,-40.53495439
677.313,-69.99633182
677.451,-39.98718351
677.590,-29.0643287
677.729,-43.28418163
677.868,-53.3473533
678.007,-27.53967403
678.145,-43.47362531
