Filename-->,
Mode/Unit-->,
Int.time[ms]-->,45
NrOfAverages-->,10
Smoothing-->,0
Wavelength [nm],
645.229,-54.13230352
645.369,-18.97757187
645.509,-32.95481892
645.649,-14.06200809
645.790,-25.73211455
645.930,-25.14066687
646.070,-23.21656861
646.210,-16.58728638
646.350,-29.58013382
646.490,-55.35085135
646.630,-21.56735735
646.770,-25.68031693
646.911,-41.40422621
647.051,-21.57196016
647.191,-25.96062593
647.331,-30.61655641
647.471,-56.79888306
647.611,-31.53949318
647.751,-26.77334185
647.891,-41.53391762
648.031,-40.51678247
648.171,-34.59866896
648.311,-12.80841351
648.451,-19.49448118
648.591,-43.89585066
648.731,-32.6143919
648.872,-44.32695427
649.012,-16.23112373
649.152,-45.37198458
649.292,-38.77057285
649.432,-48.40263653
649.572,-45.26639071
649.712,-38.29866896
649.852,-32.66897707
649.992,-41.15204334
650.131,-46.36221561
650.271,-30.61838436
650.411,-43.35086355
650.551,-41.99052019
650.691,-34.35364523
650.831,-35.53668709
650.971,-43.45921421
651.111,-39.56080952
651.251,-29.28493805
651.391,-43.68033524
651.531,-29.69029388
651.671,-32.759202
651.811,-34.67356205
651.951,-37.45181141
652.091,-29.87335405
652.230,-36.63112373
652.370,-20.30006285
652.510,-44.33553734
652.650,-36.84088049
652.790,-29.19566755
652.930,-22.55942221
653.070,-30.59309998
653.209,-34.44388189
653.349,-43.33575802
653.489,-23.10860882
653.629,-40.99703703
653.769,-36.49329529
653.909,-29.1860939
654.048,-31.41560268
654.188,-46.17315874
654.328,-29.28592253
654.468,-31.76798649
654.608,-40.80305204
654.747,-33.62951059
654.887,-50.96478367
655.027,-32.1845047
655.167,-39.13673592
655.306,-30.68773193
655.446,-25.95802784
655.586,-54.98592253
655.726,-42.29167509
655.865,-43.50426283
656.005,-51.20147505
656.145,-58.58312302
656.285,-33.83134394
656.424,-47.77334185
656.564,-34.69864454
656.704,-45.20164547
656.843,-39.42276697
656.983,-37.48888168
657.123,-42.38171082
657.262,-50.88335495
657.402,-72.75661612
657.542,-36.41718578
657.681,-39.47473574
657.821,-28.39448118
657.961,-33.97476625
658.100,-38.91996136
658.240,-35.77476015
658.380,-16.40123043
658.519,-16.51120691
658.659,-51.34226828
658.798,-31.8635973
658.938,-44.31304121
659.078,-35.05481892
659.217,-45.71399469
659.357,-41.73251152
659.496,-42.93831291
659.636,-31.32972984
659.775,-42.52238245
659.915,-31.87754745
660.055,-45.53991432
660.194,-36.27316484
660.334,-41.74809408
660.473,-20.07037706
660.613,-24.04924335
660.752,-26.47336626
660.892,-41.39309998
661.031,-18.04827766
661.171,-38.95783863
661.310,-36.92115898
661.450,-41.36776676
661.589,-34.57476625
661.729,-38.80723372
661.868,-36.10999708
662.008,-48.01837215
662.147,-26.77455215
662.287,-29.71838436
662.426,-57.58073902
662.566,-41.88055544
662.705,-25.42393456
662.844,-19.59566755
662.984,-34.26979542
663.123,-37.66341372
663.263,-32.02674723
663.402,-39.7352932
663.541,-28.8383007
663.681,-33.90307646
663.820,-47.07777987
663.960,-24.56477146
664.099,-28.98172302
664.238,-25.58311081
664.378,-15.45502033
664.517,-30.91419048
664.656,-23.52115898
664.796,-29.14486637
664.935,-16.04925556
665.075,-46.43274956
665.214,-51.95041752
665.353,-44.67870941
665.492,-49.5594161
665.632,-52.0353054
665.771,-19.89148588
665.910,-37.50006895
666.050,-43.98314743
666.189,-34.3830986
666.328,-52.81740551
666.468,-48.69448118
666.607,-49.78035965
666.746,-47.45387716
666.885,-43.20683017
667.025,-45.2873291
667.164,-42.03947487
667.303,-46.41840878
667.442,-26.56616488
667.582,-41.02235804
667.721,-35.03672371
667.860,-50.60245318
667.999,-53.71820078
668.138,-37.213029
668.278,-38.0591959
668.417,-45.48077564
668.556,-47.24806967
668.695,-41.36038179
668.834,-29.9591959
668.974,-29.7886981
669.113,-51.19863844
669.252,-51.00425062
669.391,-37.85783863
669.530,-56.13949928
669.669,-43.7576067
669.808,-36.70962992
669.948,-27.0875
670.087,-29.35225086
670.226,-22.53212676
670.365,-47.82816505
670.504,-52.88149719
670.643,-57.60303984
670.782,-35.00145063
670.921,-45.65086966
671.060,-39.5602231
671.199,-38.53389931
671.338,-51.58893051
671.478,-37.67757187
671.617,-45.21820078
671.756,-46.93250542
671.895,-41.6847249
672.034,-37.86480808
672.173,-61.57872162
672.312,-30.38035965
672.451,-28.28849034
672.590,-40.51282053
672.729,-40.02695427
672.868,-49.11420269
673.007,-28.17056675
673.146,-50.0650156
673.285,-38.25344944
673.424,-49.85923252
673.563,-47.78331833
673.702,-50.61696558
673.841,-41.60147505
673.980,-44.41697779
674.119,-32.9350852
674.257,-51.01679468
674.396,-38.87336626
674.535,-42.4916934
674.674,-45.82279749
674.813,-34.72398338
674.952,-52.74206686
675.091,-36.38193712
675.230,-12.61022854
675.369,-35.85324168
675.508,-29.54788656
675.647,-51.25222645
675.785,-37.5903244
675.924,-44.44229879
676.063,-56.04646778
676.202,-45.96499119
676.341,-20.41557827
676.480,-25.90284405
676.619,-36.66480808
676.757,-47.72954721
676.896,-43.46916018
677.035,-49.50168209
677.174,-36.32673502
677.313,-68.45186024
677.451,-34.05901842
677.590,-34.42692986
677.729,-43.9886981
677.868,-45.65362082
678.007,-39.75503864
678.145,-41.00165768
678.284,-36.99844875
678.423,-45.87196016
678.562,-46.14108801
678.700,-36.97777987
